/* DATA DESCRIPTION:
Citation:	Milcu, Alexandru; Puga-Freitas, Ruben; Ellison, Aaron M; Blouin, Manuel; Scheu, Stefan; Girin, Thomas; Freschet, Grégoire T; Rose, Laura; Scherer-Lorenzen, Michael; Barot, Sebastien; Lata, Jean-Christophe; Cesarz, Simone; Eisenhauer, Nico; Gigon, Agnès; Weigelt, Alexandra; Hansart, Amandine; Greiner, Anna; Pando, Anne; Gessler, Arthur; Grignani, Carlo; Assandri, Davide; Gleixner, Gerd; LeGalliard, Jean-Francois; Urban-Mead, Katherine; Zavattaro, Laura; Müller, Marina E H; Lange, Markus; Lukac, Martin; Bonkowski, Michael; Mannerheim, Neringa; Buchmann, Nina; Butenschoen, Olaf; Rotter, Paula; Seyhun, Rahme; Devidal, Sébastien; Kayler, Zachary; Roy, Jacques (2017): Data from 14 labortories testing the impact of introduced variability on the reproducibility of a microcosm ecological experiment. PANGAEA, https://doi.org/10.1594/PANGAEA.880980, 
	Supplement to: Milcu, A et al. (2018): Genotypic variability enhances the reproducibility of an ecological study. Nature Ecology & Evolution, 2, 279-287, https://doi.org/10.1038/s41559-017-0434-x
Abstract:	Although microcosm experiments are a frequent tool used to address fundamental ecological questions, there has been no quantitative assessment of the reproducibility of any microcosm experiment. This dataset contains the response variables measured in a multi-laboratory microcosm study in which the same microcosm experiment was repeated in 14 laboratories across Europe. All laboratories simultaneously run a simple microcosm experiment using grass (Brachypodium distachyon L.) monocultures and grass and legume (Medicago truncatula Gaertn.) mixtures. All twelve variables were then used to calculate the effect of the presence of nitrogen-fixing legume on the grass-legume mixtures (i.e. the net legume effect).
	The project tested a controversial hypotheses postulating that stringent levels of environmental and biotic standardization in experimental studies reduces reproducibility by amplifying impacts of lab-specific environmental factors not accounted for in the experimental design. This implies that the deliberate introduction of controlled systematic variability (CSV) in experimental designs can increase reproducibility. To test this hypothesis, each laboratory followed the same experimental protocol and introduced environmental and genotypic controlled systematic variability (CSV) within and among replicated microcosms established in either growth chambers (with stringent control of environmental conditions) or glasshouses (with more variable environmental conditions). Data were used to test the extent to which the effect size of the net legume effect varied with the CSV treatment and to estimate the number of laboratories that produced results that can be considered reproducible.
Parameter(s):	Laboratory (Lab) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr)
	Method comment (Method comm) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr) * COMMENT: type of setup
	Identification (ID) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr) * COMMENT: Microcosm ID
	Block (Block) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr)
	Treatment (Treat) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr) * COMMENT: legume
	Treatment (Treat) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr) * COMMENT: controlled systematic variabiliy
	Genotype (Genotype) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr)
	Biomass, dry mass [g] (Biom dm) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr) * COMMENT: seed
	Biomass, dry mass [g] (Biom dm) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr) * COMMENT: shoot
	Biomass, dry mass [g] (Biom dm) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr) * COMMENT: root
	Biomass, dry mass [g] (Biom dm) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr) * COMMENT: total
	Root/shoot ratio (Root/shoot) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr) * COMMENT: biomass
	Brachypodium distachyon, height [cm] (B. distachyon height) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr)
	Nitrogen, shoot [%] (N shoot) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr)
	Carbon, shoot [%] (C shoot) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr)
	δ15N [‰ air] (δ15N) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr)
	δ13C [‰ PDB] (δ13C) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr)
	Evapotranspiration [ml/day] (ET) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr)
	Litter [g] (Litter) * PI: Milcu, Alexandru (https://orcid.org/0000-0002-2889-1234, alex.milcu@cnrs.fr) * COMMENT: mass remaining
License:	Creative Commons Attribution-NonCommercial-NoDerivs 3.0 Unported (CC-BY-NC-ND-3.0)
Size:	18824 data points
*/
Lab	Method comm	ID	Block	Treat (legume)	Treat (controlled systematic variabiliy)	Genotype	Biom dm [g] (seed)	Biom dm [g] (shoot)	Biom dm [g] (root)	Biom dm [g] (total)	Root/shoot	B. distachyon height [cm]	N shoot [%]	C shoot [%]	δ15N [‰ air]	δ13C [‰ PDB]	ET [ml/day]	Litter [g]
L4	greenhouse	55	block2	BM	CTR	B1	0.540	8.406	1.117	10.064	1.117	43.4	0.794	41.711	2.672	-31.893	172.9	0.71
L4	greenhouse	56	block2	BM	CTR	B1	0.852	6.842	1.100	8.794	1.100	44.0	0.802	42.116	1.464	-31.784	125.1	
L4	greenhouse	57	block2	BM	CTR	B1	0.397	8.425	1.603	10.425	1.603	37.9	0.725	41.085	2.942	-31.996	151.9	
L4	greenhouse	58	block2	BM	ENVw	B1	0.482	6.749	0.985	8.215	0.985	37.5	0.779	41.198	2.073	-31.903	95.5	0.74
L4	greenhouse	59	block2	BM	ENVw	B1	0.609	7.642	1.224	9.475	1.224	44.2	0.821	41.653	1.795	-31.760	140.4	0.79
L4	greenhouse	60	block2	BM	ENVw	B1	0.648	5.966	0.824	7.438	0.824	42.6	0.638	41.510	2.279	-32.409	167.1	0.82
L4	greenhouse	61	block2	BM	ENVb	B1	0.392	8.691	1.250	10.333	1.250	38.7	0.753	41.171	2.556	-32.579	171.2	0.66
L4	greenhouse	62	block2	BM	ENVb	B1	0.299	6.890	0.925	8.114	0.925	34.0	1.485	41.071	3.443	-32.976	209.2	0.59
L4	greenhouse	63	block2	BM	ENVb	B1	0.444	7.492	1.060	8.996	1.060	39.4	0.636	41.303	2.437	-32.466	140.5	0.53
L4	greenhouse	64	block2	BM	GENw	B1	0.088	7.894	1.021	9.002	1.021	31.4	1.730	41.159	2.919	-32.085	173.3	0.60
L4	greenhouse	65	block2	BM	GENw	B1	0.326	7.887		10.085		37.1	0.801	40.899	1.741	-32.450	149.0	0.53
L4	greenhouse	66	block2	BM	GENw	B1	0.255	7.367	1.585	9.206	1.585	30.6	1.549	41.758	1.511	-32.039	128.7	0.50
L4	greenhouse	67	block2	BM	GENb	B1	0.452	7.637	1.039	9.128	1.039	40.0	0.680	40.253	2.983	-32.268	173.6	0.54
L4	greenhouse	68	block2	BM	GENb	B1	0.242	7.251	1.436	8.930	1.436	39.3	0.702	40.373	2.325	-32.269	191.6	0.56
L4	greenhouse	69	block2	BM	GENb	B1	0.187	8.688	0.974	9.849	0.974	31.3	0.749	41.193	2.933	-31.276	167.8	0.50
L4	greenhouse	70	block2	BM	ENVw+GENw	B1	0.173	7.162	1.288	8.623	1.288	34.0	1.359	40.390	2.201	-32.298	183.4	0.60
L4	greenhouse	71	block2	BM	ENVw+GENw	B1	0.203	6.009	1.009	7.221	1.009	31.0	0.754	40.680	2.818	-32.098	192.0	0.56
L4	greenhouse	72	block2	BM	ENVw+GENw	B1	0.199	6.628	0.883	7.710	0.883	28.9	0.737	41.345	2.733	-31.499	169.0	0.56
L5	growth_chamber	1	block1	B	CTR	B1	1.990	2.338	0.665	4.993	0.665	32.0	0.743	44.036	3.704	-31.089	110.4	0.48
L5	growth_chamber	2	block1	B	CTR	B1	2.009	2.413	0.745	5.166	0.745	32.4	0.560	43.988	3.358	-30.844	111.4	0.29
L5	growth_chamber	3	block1	B	CTR	B1	2.163	2.855	0.884	5.901	0.884	33.6	0.629	44.551	3.361	-31.235	119.2	0.54
L5	growth_chamber	4	block1	B	ENVw	B1	2.690	2.678	0.807	6.175	0.807	32.5	0.908	44.792	4.379	-30.795	107.8	0.30
L5	growth_chamber	5	block1	B	ENVw	B1	2.594	2.786	1.363	6.742	1.363	33.8	0.908	44.398	4.054	-31.204	125.0	0.63
L5	growth_chamber	6	block1	B	ENVw	B1	2.371	2.599	0.824	5.794	0.824	34.9	0.703	44.095	4.131	-31.419	127.2	0.33
L5	growth_chamber	7	block1	B	ENVb	B1	1.930	2.382	0.792	5.104	0.792	32.7	0.752	44.772	3.086	-31.263	122.4	0.39
L5	growth_chamber	8	block1	B	ENVb	B1	2.469	2.449	0.726	5.643	0.726	30.6	0.927	45.302	3.533	-31.409	123.6	0.46
L5	growth_chamber	9	block1	B	ENVb	B1	2.825	2.849	0.716	6.390	0.716	34.3	0.833	44.446	4.126	-31.279	104.6	0.43
L5	growth_chamber	10	block1	B	GENw	B2	0.951	3.612	1.093	5.656	1.093	37.4	0.857	44.416	3.201	-30.027	109.2	0.34
L5	growth_chamber	11	block1	B	GENw	B2	0.849	3.770	1.159	5.778	1.159	32.3	0.988	44.696	3.043		110.8	0.41
L5	growth_chamber	12	block1	B	GENw	B2	0.949	4.600	1.779	7.327	1.779		0.723	42.039	3.799	-30.400	112.0	0.44
L5	growth_chamber	13	block1	B	GENb	B1	2.055	2.677	1.125	5.857	1.125	34.1	0.926	44.724	3.982	-31.355	121.2	0.54
L5	growth_chamber	14	block1	B	GENb	B2	1.012	3.631	3.352	7.995	3.352	36.1	0.773	44.392	3.849	-30.353	135.0	0.41
L5	growth_chamber	15	block1	B	GENb	B2	1.194	3.760	1.047	6.001	1.047	35.1	0.853	43.239	3.972	-30.722	149.2	0.58
L5	growth_chamber	16	block1	B	ENVw+GENw	B2	0.925	4.244	1.449	6.618	1.449	39.6	0.814	43.973	4.402	-30.213	137.8	0.59
L5	growth_chamber	17	block1	B	ENVw+GENw	B2	0.688	4.127	1.400	6.215	1.400	33.4	0.704	44.818	4.381	-30.760	134.0	0.49
L5	growth_chamber	18	block1	B	ENVw+GENw	B2	0.936	4.111	1.508	6.555	1.508	34.2	0.836	44.071	3.656	-29.938	120.0	0.27
L5	growth_chamber	19	block1	BM	CTR	B1	1.227	5.040	1.629	7.896	1.629	34.5	0.950	44.185	3.557	-31.073	201.8	0.31
L5	growth_chamber	20	block1	BM	CTR	B1	1.066	5.318	1.757	8.141	1.757	31.5	0.903	43.523	3.270	-30.955	189.6	0.36
L5	growth_chamber	21	block1	BM	CTR	B1	1.134	5.477	2.677	9.288	2.677	29.1	1.029	43.116	3.772	-30.979	199.0	0.54
L5	growth_chamber	22	block1	BM	ENVw	B1	1.239	5.548	1.502	8.288	1.502	33.9	0.756	42.746	3.754	-30.483	244.4	0.41
L5	growth_chamber	23	block1	BM	ENVw	B1	1.196	6.056	1.750	9.002	1.750	31.1	0.934	43.264	3.308	-30.557	210.6	0.38
L5	growth_chamber	24	block1	BM	ENVw	B1	0.914	6.657	1.688	9.258	1.688	31.5	0.591	43.361	3.515	-30.676	212.8	0.49
L5	growth_chamber	25	block1	BM	ENVb	B1	1.215	5.374	1.765	8.354	1.765	33.4	0.666	44.079	3.318	-30.680	203.4	
L5	growth_chamber	26	block1	BM	ENVb	B1	1.094	5.910	1.609	8.613	1.609	33.5	0.655	43.603	2.809	-30.869	237.8	0.50
L5	growth_chamber	27	block1	BM	ENVb	B1	1.024	5.857	1.360	8.242	1.360	31.5	0.877	43.494	3.229	-31.098	235.0	0.39
L5	growth_chamber	28	block1	BM	GENw	B1	0.496	5.712	2.192	8.400	2.192	33.6	0.799	42.733	3.058	-30.373	193.4	
L5	growth_chamber	29	block1	BM	GENw	B1	0.273	5.626	2.101	7.999	2.101	27.2	0.973	43.609	4.129	-30.743	204.6	0.43
L5	growth_chamber	30	block1	BM	GENw	B1	0.294	5.725	2.080	8.099	2.080	27.8	0.997	43.021	4.406	-30.251	208.2	0.45
L5	growth_chamber	31	block1	BM	GENb	B1	1.265	5.240	2.138	8.642	2.138	33.6	0.879	43.346	3.366	-30.962	178.4	0.54
L5	growth_chamber	32	block1	BM	GENb	B1	0.435	5.512	2.031	7.978	2.031	31.4	0.775	42.962	3.980	-30.849	210.8	0.29
L5	growth_chamber	33	block1	BM	GENb	B1	0.430	5.369	2.240	8.039	2.240	34.2	1.025	43.446	3.490	-31.385	187.0	0.53
L5	growth_chamber	34	block1	BM	ENVw+GENw	B1	0.630	5.089	2.656	8.375	2.656	36.8	0.705	43.248	3.038	-30.677	214.8	0.51
L5	growth_chamber	35	block1	BM	ENVw+GENw	B1	0.829	5.068	2.307	8.204	2.307	37.8	0.694	42.308	3.336	-31.080	185.8	0.39
L5	growth_chamber	36	block1	BM	ENVw+GENw	B1	0.547	4.574	1.721	6.841	1.721	35.5	0.881	42.829	3.509	-30.563	181.8	0.38
L5	growth_chamber	37	block2	B	CTR	B1	2.600	2.894	0.856	6.350	0.856	33.0	0.782	44.688	3.511	-31.594	114.2	0.43
L5	growth_chamber	38	block2	B	CTR	B1	1.629	2.404	0.672	4.705	0.672	35.4	0.751	43.603	2.619	-31.763	102.8	0.21
L5	growth_chamber	39	block2	B	CTR	B1	2.489	2.971	1.086	6.546	1.086	31.2	0.671	44.963	3.593	-31.786	126.2	0.25
L5	growth_chamber	40	block2	B	ENVw	B1	2.924	2.653	0.849	6.425	0.849	29.7	0.866	44.984	3.895	-31.515	112.0	0.35
L5	growth_chamber	41	block2	B	ENVw	B1	2.815	2.809	0.628	6.252	0.628	33.1	1.081	45.030	4.336	-31.673	101.4	0.31
L5	growth_chamber	42	block2	B	ENVw	B1	2.576	3.154	1.532	7.262	1.532	34.0	0.769	45.459	4.103	-31.646	109.6	0.46
L5	growth_chamber	43	block2	B	ENVb	B1	2.339	3.022	0.867	6.228	0.867	33.9	0.859	45.253	2.754	-31.445	94.6	0.48
L5	growth_chamber	44	block2	B	ENVb	B1	2.803	3.245	0.770	6.817	0.770	33.2	0.852	44.856	3.649	-32.079	136.4	0.31
L5	growth_chamber	45	block2	B	ENVb	B1	2.513	3.136	1.025	6.673	1.025	31.4	1.049	44.373	4.164	-32.027	137.0	0.46
L5	growth_chamber	46	block2	B	GENw	B2	1.440	4.599	2.000	8.038	2.000	37.7	0.752	44.951	3.021	-30.895	142.0	0.43
L5	growth_chamber	47	block2	B	GENw	B2	0.907	4.046	1.104	6.057	1.104	38.0	0.779	45.122	3.462	-30.383	111.2	0.47
L5	growth_chamber	48	block2	B	GENw	B2	1.209	3.935	1.697	6.841	1.697	39.2	0.798	44.579	3.915	-30.866	111.4	0.34
L5	growth_chamber	49	block2	B	GENb	B1	2.675	2.931	1.033	6.639	1.033	31.1	0.947	45.022	3.521	-32.268	116.6	0.34
L5	growth_chamber	50	block2	B	GENb	B2	1.528	5.231	2.055	8.814	2.055	37.2	1.049	45.928	3.561	-30.651	145.6	0.46
L5	growth_chamber	51	block2	B	GENb	B2	0.853	3.718	1.746	6.317	1.746	32.2	0.854	44.029	2.940	-30.957	97.8	0.39
L5	growth_chamber	52	block2	B	ENVw+GENw	B2	1.015	5.099	1.800	7.913	1.800	33.8	0.877	44.986	4.090	-31.025	137.4	0.34
L5	growth_chamber	53	block2	B	ENVw+GENw	B2	0.908	4.549	1.329	6.786	1.329	34.2	0.915	44.736	4.051	-31.030	140.0	0.34
L5	growth_chamber	54	block2	B	ENVw+GENw	B2	0.840	3.973	1.271	6.085	1.271	29.7	0.789	44.559	3.485	-30.542	116.4	0.53
L5	growth_chamber	55	block2	BM	CTR	B1	0.996	5.751	1.864	8.611	1.864	27.6	0.748	43.494	2.879	-31.783	197.4	0.44
L5	growth_chamber	56	block2	BM	CTR	B1	0.858	5.373	2.048	8.279	2.048	26.5	0.734	43.709	2.443	-31.901	182.0	0.30
L5	growth_chamber	57	block2	BM	CTR	B1	1.164	5.710	1.349	8.222	1.349	31.0	0.805	43.845	2.564	-31.499	190.8	0.42
L5	growth_chamber	58	block2	BM	ENVw	B1	0.933	6.892	2.030	9.854	2.030	28.3	0.818	43.621	2.394	-31.521	187.0	0.52
L5	growth_chamber	59	block2	BM	ENVw	B1	1.033	6.405	1.834	9.272	1.834	30.0	0.841	43.247	2.942	-31.426	204.4	0.42
L5	growth_chamber	60	block2	BM	ENVw	B1	1.218	5.627	2.044	8.888	2.044	27.2	0.856	44.055	3.323	-31.499	190.2	0.34
L5	growth_chamber	61	block2	BM	ENVb	B1	1.019	4.658	1.745	7.422	1.745	26.5	0.930	43.301	2.839	-32.018	159.0	0.48
L5	growth_chamber	62	block2	BM	ENVb	B1	1.024	5.464	2.109	8.598	2.109	29.2	0.860	43.241	3.204	-31.930	199.6	0.52
L5	growth_chamber	63	block2	BM	ENVb	B1	0.848	6.238	1.966	9.052	1.966	27.2	0.985	42.536	3.042	-31.376	193.6	0.41
L5	growth_chamber	64	block2	BM	GENw	B1	0.544	4.874	2.305	7.723	2.305	35.8	0.884	43.099	3.394	-31.873	181.0	0.63
L5	growth_chamber	65	block2	BM	GENw	B1	0.488	5.145	2.027	7.660	2.027	35.1	0.704	43.649	3.069	-31.298	180.6	0.51
L5	growth_chamber	66	block2	BM	GENw	B1	0.561	5.660	1.927	8.148	1.927	31.5	0.962	43.899	3.204	-31.113	197.0	0.49
L5	growth_chamber	67	block2	BM	GENb	B1	0.921	5.257	2.644	8.821	2.644	29.5	0.619	43.118	3.343	-31.611	178.4	0.48
L5	growth_chamber	68	block2	BM	GENb	B1	0.530	4.669	3.218	8.416	3.218	28.5	0.931	44.001	2.716	-31.192	182.8	0.47
L5	growth_chamber	69	block2	BM	GENb	B1	0.436	5.321		9.699			0.759	42.753	3.304	-31.441	169.6	0.42
L5	growth_chamber	70	block2	BM	ENVw+GENw	B1	0.735	5.919	2.955	9.609	2.955	29.0	0.748	43.062	3.447	-31.106	211.4	0.45
L5	growth_chamber	71	block2	BM	ENVw+GENw	B1	0.532	6.066	2.257	8.856	2.257	35.0	0.830	43.237	3.006	-30.705	204.6	0.35
L5	growth_chamber	72	block2	BM	ENVw+GENw	B1	0.439	6.271	2.761	9.471	2.761	32.7	0.772	43.100	3.566	-31.001	197.2	0.48
L6	growth_chamber	1	block1	B	CTR	B1	0.889	2.923	1.208	5.020	1.208	28.0	1.084	41.478	2.206	-33.699	127.2	0.46
L6	growth_chamber	2	block1	B	CTR	B1	0.755	3.315	7.261	11.331		30.8		44.249	1.355	-33.893	139.0	0.47
L6	growth_chamber	3	block1	B	CTR	B1	0.850	3.414		16.014		26.9	0.888	42.008	1.947	-33.116	128.4	0.47
L6	growth_chamber	4	block1	B	ENVw	B1	0.427	2.908	1.076	4.411	1.076	30.7	1.035		2.871	-33.597	137.8	0.72
L6	growth_chamber	5	block1	B	ENVw	B1	0.863	2.346	1.493	4.702	1.493	26.7	1.039	42.460	3.242	-33.523	108.9	0.70
L6	growth_chamber	6	block1	B	ENVw	B1	0.866	2.557	5.020	8.443	5.020	27.3	0.963	44.312	2.849	-33.523	121.3	0.62
L6	growth_chamber	7	block1	B	ENVb	B1	0.699	2.985	5.000	8.684	5.000	28.2		46.220	1.882	-32.828	136.0	0.70
L6	growth_chamber	8	block1	B	ENVb	B1	0.883	2.690	1.665	5.238	1.665	28.2	1.066		1.610	-33.258	121.4	0.65
L6	growth_chamber	9	block1	B	ENVb	B1	0.739	2.708	7.655	11.102		27.0	1.022	40.351	3.034	-33.442	123.6	0.57
L6	growth_chamber	10	block1	B	GENw	B2	0.328	2.451	6.658	9.437		25.6		42.917	2.246	-33.155	109.8	0.53
L6	growth_chamber	11	block1	B	GENw	B2	0.317	2.254	1.050	3.621	1.050	22.6		43.601	2.829	-33.499	108.5	0.66
L6	growth_chamber	12	block1	B	GENw	B2	0.245	2.944	3.097	6.286	3.097	23.5	1.082		1.699	-32.590	108.7	0.44
L6	growth_chamber	13	block1	B	GENb	B1	0.801	2.585		11.852		28.0	1.056	45.250	1.949	-33.329	118.2	0.60
L6	growth_chamber	14	block1	B	GENb	B2	0.200	2.350	1.503	4.053	1.503	27.7	1.268	39.789	1.752	-33.769	110.0	
L6	growth_chamber	15	block1	B	GENb	B2	0.086	2.771	3.019	5.876	3.019	22.4	1.271	42.350	2.123	-32.406	118.7	0.42
L6	growth_chamber	16	block1	B	ENVw+GENw	B2	0.110	2.950	1.935	4.995	1.935	21.8		44.489	1.979	-32.895	103.6	0.51
L6	growth_chamber	17	block1	B	ENVw+GENw	B2	0.170	2.852	1.568	4.590	1.568		1.025	43.247	2.911	-32.833	103.4	0.72
L6	growth_chamber	18	block1	B	ENVw+GENw	B2	0.406	2.463	6.368	9.237	6.368	23.5	1.411	44.197	3.037	-32.875	110.9	0.63
L6	growth_chamber	19	block1	BM	CTR	B1	0.214	4.786	1.752	6.752	1.752	28.4	0.959	42.936	2.099	-33.526	187.2	0.46
L6	growth_chamber	20	block1	BM	CTR	B1	0.303	4.718	3.669	8.690	3.669	25.4	0.998	43.320	1.745	-33.098	138.0	0.53
L6	growth_chamber	21	block1	BM	CTR	B1	0.190	4.402		14.872		27.4	1.060		2.024	-33.426	156.9	0.55
L6	growth_chamber	22	block1	BM	ENVw	B1	0.482	4.537	2.829	7.848	2.829	27.7	1.077	43.828	2.914	-33.276	130.2	0.51
L6	growth_chamber	23	block1	BM	ENVw	B1	0.703	4.860	2.494	8.057	2.494	27.3	1.050	44.897	2.239	-33.542	142.1	0.51
L6	growth_chamber	24	block1	BM	ENVw	B1	0.326	5.043	1.708	7.077	1.708	27.1	0.850	43.847	2.778	-33.152	160.5	0.63
L6	growth_chamber	25	block1	BM	ENVb	B1	0.230	4.210	2.530	6.970	2.530	29.0	0.995	43.635	1.293	-33.065	133.8	0.47
L6	growth_chamber	26	block1	BM	ENVb	B1	0.477	4.911	3.038	8.426	3.038	28.1	0.973	43.642	1.957	-33.097	139.7	0.56
L6	growth_chamber	27	block1	BM	ENVb	B1	0.261	4.421		14.006		23.4		44.558	3.176	-33.141	153.9	0.61
L6	growth_chamber	28	block1	BM	GENw	B1	0.205	4.135	3.840	8.180	3.840	26.7	1.002	45.038	2.261	-32.815	151.9	0.57
L6	growth_chamber	29	block1	BM	GENw	B1	0.071	3.645	4.139	7.855	4.139	26.3	1.102	44.868	1.765	-34.300	153.7	0.58
L6	growth_chamber	30	block1	BM	GENw	B1	0.121	3.280	2.455	5.856	2.455	28.3	0.942	42.183	1.529	-33.757	161.8	0.50
L6	growth_chamber	31	block1	BM	GENb	B1	0.491	5.025	3.043	8.559	3.043	24.7	0.937	43.782	2.497	-33.672	172.0	0.40
L6	growth_chamber	32	block1	BM	GENb	B1	0.416	4.659	5.764	10.839	5.764	25.6	1.025	41.181	1.547	-32.786	149.4	0.49
L6	growth_chamber	33	block1	BM	GENb	B1	0.257	4.087		12.608		22.5		43.180	1.837	-33.993	161.8	0.55
L6	growth_chamber	34	block1	BM	ENVw+GENw	B1	0.105	4.312	6.620	11.037		26.4		43.580	2.364	-33.716	161.4	0.59
L6	growth_chamber	35	block1	BM	ENVw+GENw	B1	0.046	4.261	4.122	8.429	4.122	24.0	0.885	39.183	2.645	-33.731	176.4	
L6	growth_chamber	36	block1	BM	ENVw+GENw	B1	0.106	4.720	2.044	6.870	2.044	31.4		42.477	2.518	-33.310	157.2	0.50
L6	growth_chamber	37	block2	B	CTR	B1	0.675	2.438	2.714	5.827	2.714	29.8	1.014	44.322	2.191	-34.257	120.2	0.53
L6	growth_chamber	38	block2	B	CTR	B1	0.412	2.008	2.527	4.947	2.527	25.4	0.954	44.488	1.131	-34.402	114.4	0.55
L6	growth_chamber	39	block2	B	CTR	B1	0.663	2.533	1.992	5.188	1.992	28.0		43.714	1.329	-33.681	113.0	0.56
L6	growth_chamber	40	block2	B	ENVw	B1	0.769	2.739	3.005	6.513	3.005	30.5	0.873	38.660	2.909	-34.425	146.0	0.41
L6	growth_chamber	41	block2	B	ENVw	B1	0.605	2.837	2.149	5.591	2.149	32.6	0.865	42.138	2.881	-34.005	136.0	0.54
L6	growth_chamber	42	block2	B	ENVw	B1	0.525	2.801	1.867	5.193	1.867	30.6	0.944	45.083	2.147	-33.761	123.5	0.42
L6	growth_chamber	43	block2	B	ENVb	B1	0.632	2.867	1.143	4.642	1.143	28.5	0.870	43.505	2.093	-34.011	116.4	0.43
L6	growth_chamber	44	block2	B	ENVb	B1	0.505	3.209	2.739	6.453	2.739	30.9	0.907	43.617	3.392	-33.349	126.2	0.53
L6	growth_chamber	45	block2	B	ENVb	B1	0.719	2.863	4.211	7.793	4.211	29.6	1.056	45.403	2.758	-33.495	114.2	0.45
L6	growth_chamber	46	block2	B	GENw	B2	0.332	2.774	2.604	5.710	2.604	28.1		42.859	1.934	-33.593	118.1	0.44
L6	growth_chamber	47	block2	B	GENw	B2	0.385	2.379	5.722	8.486	5.722	24.8	1.113	44.140	2.113	-33.651	101.8	0.53
L6	growth_chamber	48	block2	B	GENw	B2	0.187	2.428	5.761	8.376	5.761	25.8	1.080	44.620	1.661	-33.936	112.3	0.54
L6	growth_chamber	49	block2	B	GENb	B1	0.634	2.717	0.589	3.940	0.589	32.0	0.954	43.341	3.199	-34.469	136.5	0.62
L6	growth_chamber	50	block2	B	GENb	B2	0.486	2.551	2.718	5.755	2.718	27.0	1.023	41.764	2.614	-33.867	114.7	0.54
L6	growth_chamber	51	block2	B	GENb	B2	0.307	2.584	7.268	10.159		27.1	1.075	42.555	2.812	-33.018	103.4	0.51
L6	growth_chamber	52	block2	B	ENVw+GENw	B2	0.331	2.680	0.983	3.994	0.983	26.4	0.963	42.637	2.899	-33.213	102.3	0.48
L6	growth_chamber	53	block2	B	ENVw+GENw	B2	0.208	2.956	4.685	7.849	4.685	24.3		41.365	2.506	-33.528	107.8	0.47
L6	growth_chamber	54	block2	B	ENVw+GENw	B2	0.348	2.389	2.615	5.352	2.615	32.5	1.082	44.513	2.226	-34.330	123.2	0.52
L6	growth_chamber	55	block2	BM	CTR	B1	0.289	4.292	1.722	6.303	1.722	27.5	1.028	46.018	2.046	-34.982	149.0	0.52
L6	growth_chamber	56	block2	BM	CTR	B1	0.424	4.765	2.235	7.424	2.235	27.1	0.873	43.713	0.998	-33.454	153.1	0.49
L6	growth_chamber	57	block2	BM	CTR	B1	0.417	5.050	2.309	7.776	2.309	26.7	0.976	44.339	2.663	-33.527	183.9	0.43
L6	growth_chamber	58	block2	BM	ENVw	B1	0.253	5.213	3.529	8.995	3.529	27.2	0.911	42.836	2.329	-34.029	185.5	0.45
L6	growth_chamber	59	block2	BM	ENVw	B1	0.252	4.956	3.322	8.530	3.322	29.4	0.872	43.778	2.698	-33.491	194.9	0.63
L6	growth_chamber	60	block2	BM	ENVw	B1	0.302	4.472	1.877	6.651	1.877	29.0			1.832	-34.042	180.8	0.47
L6	growth_chamber	61	block2	BM	ENVb	B1	0.152	4.523	2.017	6.692	2.017	23.3	0.897	44.472	1.695	-33.746	141.5	0.46
L6	growth_chamber	62	block2	BM	ENVb	B1	0.315	4.420	1.825	6.560	1.825	28.6	0.968	40.037	2.594	-33.945	148.9	0.44
L6	growth_chamber	63	block2	BM	ENVb	B1	0.155	4.271	1.689	6.115	1.689	26.2	0.851	44.578	2.271	-33.061	168.7	0.51
